name,incl,q,r1,r2,ecc,T2/T1,R2
LC-7KCR,81.44979056,0.02309478,0.531683205,0.15289774,0.028829988,1.058607629,0.9982
LC-7XC9,85.30183281,0.651366608,0.376148736,0.21819491,0.090423887,0.686216119,0.9998
LC-7YEZ,86.24530356,0.367916921,0.207835775,0.096289397,0.055436021,0.715217414,0.9995
LC-82GK,78.34892244,0.608151519,0.369037793,0.100200329,0.038065308,0.858288879,0.9991
LC-82WF,72.45388794,0.067742797,0.570352464,0.125620504,0.041327724,0.879680292,0.9979
LC-83BW,78.40541777,0.286694021,0.32229047,0.069730752,0.05627955,0.58993686,0.9979
LC-87D8,80.29449389,0.0412974,0.342240684,0.110081378,0.087696201,0.541317835,0.9993
LC-89CO,85.20822257,0.164502106,0.39710629,0.151761501,0.042087196,0.808743642,0.9985
LC-8HZS,84.83542439,0.528595742,0.265213439,0.066604048,0.00338545,1.045794618,0.9989
LC-8U3T,80.65547919,0.033906749,0.313019755,0.121210429,0.108123153,1.006448219,0.999
LC-93HD,84.38489725,0.414738658,0.282363146,0.114552,0.007047268,0.697006947,0.9996
LC-98Y7,80.60696878,0.007759991,0.382938392,0.113502465,0.058506817,0.522499989,0.9988
LC-9CIK,87.00601801,0.39459832,0.251764466,0.159004933,0.108062359,1.127909378,0.9997
LC-9HPX,86.15236239,0.923204965,0.265167704,0.08750224,0.062176891,0.744617942,0.9992
LC-9HRO,80.35700585,0.513908864,0.321074863,0.094114349,0.019401543,0.838119107,0.9992
LC-9YB2,80.15088843,0.558857296,0.370031176,0.107810985,0.123652829,0.718487922,0.999
LC-9YGT,87.99778525,0.255265803,0.263283663,0.119101208,0.031058546,0.917734086,0.9996
LC-9YW3,85.80302648,0.474193743,0.391137194,0.162487536,0.098218472,0.934626114,0.9992
LC-A1IP,89.01331023,0.786805269,0.227948316,0.157420281,0.023564085,1.079912631,0.9996
LC-A20H,83.33158991,0.151530724,0.343792741,0.152046719,0.018596756,0.587928652,0.9996
LC-A5WF,87.73148167,0.088152124,0.211674976,0.12839953,0.125727682,0.523542276,0.9995
LC-AGCL,86.56825973,0.031887238,0.247635458,0.119969285,0.007345383,0.557131864,0.9996
LC-AGEZ,81.64119075,0.212058494,0.332021281,0.078723977,0.162722244,0.515737405,0.9983
LC-AW27,86.6043206,0.545044234,0.345975571,0.160655471,0.022963841,0.534211639,0.9997
LC-B6SR,83.83525129,0.526544019,0.336020362,0.189143545,0.110918099,0.864523421,0.9995
LC-BE4I,81.24255917,0.048449494,0.299448631,0.091672236,0.045553841,0.723603921,0.9989
LC-BT2F,87.72219012,0.874198009,0.349020835,0.154442068,0.021334653,0.999203338,0.9994
LC-C58U,88.58517861,0.660460771,0.28027039,0.173898527,0.038325041,0.918014481,0.9999
LC-CGNS,82.19662563,0.637537994,0.319474247,0.136515953,0.064679812,0.79424011,0.9991
LC-CIVM,86.22510023,0.17043441,0.227254244,0.089281028,0.086235091,1.091571905,0.9996
LC-CJC8,88.57300388,0.09450816,0.199040495,0.102860156,0.103041174,0.676142635,0.9996
LC-CL8E,81.51018481,0.221011087,0.277475289,0.114854707,0.006846373,0.660360196,0.9995
LC-CRL2,84.37257425,0.0864338,0.426874216,0.167985215,0.11066773,0.787571813,0.9988
LC-CTAD,78.98882805,0.679031333,0.341370242,0.113956882,0.123074171,0.756387541,0.9995
LC-D54O,81.5946377,0.224188857,0.381533039,0.201351414,0.081852165,0.649072574,0.9997
LC-D64Z,86.97507234,0.059498518,0.267056235,0.155343113,0.030922317,1.002054133,0.9996
LC-DDLP,77.83990939,0.271864935,0.431278829,0.143891923,0.011505263,0.744475176,0.9996
LC-DEZA,82.68588477,0.197288498,0.423603573,0.236762557,0.002899876,1.166597806,0.9997
LC-DFVB,77.20490045,0.137846224,0.461231755,0.168475951,0.085185102,0.883783214,0.9995
LC-DG3E,89.24560452,0.307799286,0.402911361,0.181360821,0.006723887,0.81257259,0.9998
LC-DIME,84.8545447,0.2974236,0.321636151,0.076768411,0.121743733,0.938100172,0.9983
LC-DNLH,87.06239087,0.28194245,0.386329499,0.13640684,0.029850456,0.728057143,0.9984
LC-DTIC,86.98766641,0.5503859,0.35073978,0.198084984,0.038171164,1.048797778,0.9999
LC-DXQE,74.83333293,0.085663717,0.534168113,0.154221801,0.039565391,1.147594717,0.9995
LC-E64A,80.90927932,0.451172741,0.35890427,0.100655846,0.106562893,0.588396625,0.9992
LC-E827,86.36781604,0.882529177,0.25850273,0.140956252,0.051791896,0.922123023,0.9995
LC-EH83,81.01923069,0.309403834,0.32930414,0.087729089,0.014592728,1.148661833,0.9975
LC-EHGS,82.31955588,0.105196105,0.391236961,0.147128188,0.030512909,0.75196606,0.998
LC-EMWL,86.32403403,0.162083586,0.303308077,0.092160202,0.027316935,0.716540995,0.999
LC-EPAZ,84.54849286,0.300642546,0.275407058,0.110247182,0.053617741,0.599606961,0.9996
LC-EW07,85.47392692,0.228284943,0.326520386,0.210056378,0.141234219,0.846028704,0.9996
LC-F1L5,86.87150774,0.265135158,0.312891985,0.067558896,0.127251901,0.643639383,0.9988
LC-F2MW,89.49715676,0.176459641,0.410322571,0.094015053,0.088623328,1.010202388,0.9978
LC-F4DQ,82.8666869,0.151031167,0.379531554,0.191040198,0.001492802,0.847626025,0.9997
LC-F5CN,82.6600544,0.127045258,0.501767166,0.207464074,0.005348324,1.039568438,0.9997
LC-FCWI,86.11943333,0.71054074,0.3264973,0.16169511,0.084174598,1.041307256,0.9994
LC-FDI4,84.60993393,0.286170284,0.262055413,0.0590202,0.091566683,0.973553858,0.997
LC-FEBF,76.48943652,0.084313016,0.520420096,0.13727416,0.087875499,0.647756778,0.9988
LC-FETZ,87.0839479,0.007599325,0.501755121,0.080420077,0.042171549,1.140959201,0.994
LC-FK0Q,88.02687232,0.14259495,0.426256386,0.193082894,0.029535287,1.062051289,0.9995
LC-FO7Z,84.46598212,0.732753827,0.214750301,0.067109181,0.093863657,0.691653254,0.9984
LC-FY51,83.37833083,0.583718214,0.316777145,0.053456636,0.04546406,0.596906737,0.9981
LC-G6CK,84.47744604,0.196016363,0.323690688,0.194252688,0.089569036,0.704079312,0.9996
LC-G8MG,82.06173716,0.234638332,0.318469735,0.09424756,0.021010261,1.113475452,0.999
