name,T1,T2,incl,q,r1,r2,ecc,R2
LC-FCWI,8380.138331,8726.298853,86.11943333,0.71054074,0.3264973,0.16169511,0.084174598,0.9994
LC-FDI4,9169.257513,8926.766027,84.60993393,0.286170284,0.262055413,0.0590202,0.091566683,0.997
LC-FEBF,12375.63725,8016.402909,76.48943652,0.084313016,0.520420096,0.13727416,0.087875499,0.9988
LC-FETZ,4308.580409,4915.914463,87.0839479,0.007599325,0.501755121,0.080420077,0.042171549,0.994
LC-FK0Q,5085.365413,5400.918891,88.02687232,0.14259495,0.426256386,0.193082894,0.029535287,0.9995
LC-FO7Z,5360.128065,3707.35002,84.46598212,0.732753827,0.214750301,0.067109181,0.093863657,0.9984
LC-FY51,7894.739024,4712.422909,83.37833083,0.583718214,0.316777145,0.053456636,0.04546406,0.9981
LC-G6CK,10511.39411,7400.855132,84.47744604,0.196016363,0.323690688,0.194252688,0.089569036,0.9996
LC-G8MG,6545.372682,7288.111806,82.06173716,0.234638332,0.318469735,0.09424756,0.021010261,0.999
LC-GFAZ,9288.594427,10623.96181,89.23964403,0.465042237,0.327520933,0.128861055,0.040372515,0.9993
LC-GUVY,7937.761784,6020.776754,81.00399855,0.305083159,0.423635518,0.167061778,0.020596854,0.9995
LC-GYIP,11632.08008,7757.970414,86.1470411,0.6750229,0.191924397,0.058358969,0.01700812,0.9983
LC-H7A9,3771.116536,4042.663007,82.9944829,0.459628617,0.342781249,0.077656028,0.040713229,0.9986
LC-H955,8451.648364,6140.58706,84.19310951,0.694137968,0.356220031,0.145529234,0.069161049,0.9998
LC-HE5T,6728.661161,7569.802945,86.78828647,0.133089231,0.383125081,0.154774909,0.038715964,0.9994
LC-HI00,5371.697387,5429.159066,78.48587784,0.131173663,0.388537073,0.134346745,0.01258844,0.999
LC-HK1R,5454.552541,3997.727733,83.21211638,0.025455529,0.312726479,0.097319326,0.033769687,0.9984
LC-HMSA,6261.411899,5451.880682,89.27830065,0.198060744,0.354649162,0.070286631,0.07024767,0.9969
LC-HTT3,6424.139664,6718.913812,80.3587645,0.342080872,0.398834866,0.143878493,0.002359884,0.9981
LC-HUMH,4608.984141,5656.658766,83.84226272,0.21326163,0.26147704,0.065195807,0.024019624,0.998
LC-IAC1,6398.018001,7313.753447,89.49625006,0.814012494,0.319649869,0.204143057,0.004250263,0.9998
LC-IEQG,9723.032517,7171.861921,81.9002004,0.285922291,0.455788403,0.251261895,0.037978654,0.9998
LC-ISQL,5555.40301,4973.741889,84.4638381,0.285647658,0.44301962,0.232744709,0.096877274,0.9996
LC-J063,9625.023451,10250.47434,81.24486743,0.277721341,0.408419186,0.192133421,0.019868658,0.9998
LC-J8ZD,10957.99313,8227.086653,79.65320086,0.350865672,0.410114678,0.163620858,0.005318232,0.9997
LC-J90Z,10160.9839,11501.39616,84.00932961,0.261533146,0.302123837,0.053472409,0.007032061,0.9973
LC-J95Q,10275.50209,10296.84551,78.32987013,0.200859156,0.452049674,0.155409833,0.028911442,0.9994
LC-JC1S,12383.30573,6679.861038,83.24255468,0.656658706,0.362783126,0.189573296,0.021451611,0.9995
LC-JC5L,6845.422756,7316.475963,82.53204777,0.28561414,0.310559603,0.152284,0.020314303,0.9997
LC-JC7H,5837.788074,6204.492372,82.71629638,0.423836732,0.330292589,0.130537411,0.063605358,0.9992
LC-JED0,9539.098879,10015.28746,79.71152646,0.103678799,0.434647347,0.12724695,0.114085859,0.9984
LC-JFJR,8362.069573,5708.866404,83.44711244,0.083339779,0.342296146,0.155843045,0.089191403,0.9995
LC-JLCS,4928.834826,5586.165884,85.12324715,0.669722648,0.104223043,0.26565698,0.05159074,0.9988
