name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,f1,f2,R2
TIC 284892951,6735,3567,85.5002,0.3988,0.2331,0.0167,0.2132,0.0033,0.0593,0.001,0.42,0.2258,0.9977
TIC 286380389,6775,4392,84.5183,0.1547,0.4558,0.0144,0.2526,0.0009,0.11,0.0005,0.5635,0.3511,0.9997
TIC 287669537,7285,4014,84.1028,0.2808,0.399,0.0099,0.2857,0.0018,0.0964,0.0008,0.6209,0.3182,0.9994
TIC 288502074,6643,5021,87.7026,0.425,0.6261,0.0182,0.1792,0.0015,0.3306,0.0019,0.4268,0.9747,0.9995
TIC 288502078,7078,5316,85.0997,0.1385,0.6722,0.011,0.3355,0.0011,0.1619,0.0006,0.8109,0.469,0.9998
TIC 288882010,6328,4584,85.6537,0.2542,0.5221,0.0313,0.1992,0.0017,0.0733,0.0008,0.4566,0.2261,0.9991
TIC 28942187,6976,4417,84.8806,1.0431,0.548,0.033,0.2746,0.0053,0.0823,0.0017,0.6359,0.2507,0.994
TIC 289564387,6322,3438,79.7844,0.1725,0.2995,0.0089,0.2992,0.002,0.0813,0.0006,0.6162,0.2894,0.999
TIC 291145873,9095,5312,87.3618,0.3874,0.3173,0.0228,0.1926,0.0012,0.0646,0.0005,0.401,0.2265,0.9975
TIC 293083061,5346,4232,86.1213,1.0644,0.5795,0.0342,0.3031,0.0044,0.1214,0.0022,0.7101,0.3646,0.9938
TIC 294059372,6841,4245,74.3551,0.3542,0.0807,0.0027,0.3991,0.0033,0.0986,0.0011,0.6709,0.5079,0.998
TIC 294930324,4676,4606,81.9758,0.2513,0.4364,0.0197,0.3085,0.0021,0.1208,0.0012,0.6823,0.3899,0.999
TIC 29778064,5346,3485,82.2841,0.2308,0.389,0.0092,0.373,0.0017,0.1543,0.0008,0.8068,0.5128,0.9974
TIC 298337041,6979,4275,80.9271,0.2229,0.4959,0.0111,0.3393,0.0021,0.093,0.0007,0.7697,0.2905,0.9983
TIC 298415054,6592,3754,87.8074,0.4632,0.2506,0.0041,0.3652,0.0016,0.0777,0.0004,0.7287,0.2902,0.9988
TIC 298421458,5824,4198,88.1718,0.8211,0.739,0.0373,0.2704,0.0021,0.1245,0.0009,0.667,0.3527,0.9993
TIC 300012172,7110,5361,86.1705,0.7522,0.6427,0.0204,0.3387,0.0026,0.1351,0.0013,0.8109,0.3958,0.9992
TIC 309828087,5937,3177,84.7421,0.3285,0.0362,0.032,0.1814,0.0028,0.0589,0.0012,0.2784,0.3865,0.9974
TIC 311070085,6336,3661,84.9715,0.5088,0.5006,0.0256,0.2105,0.0033,0.0414,0.0008,0.4785,0.129,0.998
TIC 311268497,8275,5760,87.8622,0.6041,0.3615,0.0244,0.1908,0.0017,0.1016,0.001,0.4069,0.3443,0.9998
TIC 312865025,7167,7314,89.8834,0.143,0.7144,0.0339,0.2181,0.0006,0.1643,0.0004,0.534,0.4693,0.9999
TIC 313027310,6147,4243,83.3887,0.1678,0.3432,0.0086,0.2769,0.0012,0.0925,0.0005,0.5849,0.3178,0.9997
TIC 316769815,6449,3730,80.8102,0.6289,0.0731,0.0044,0.2956,0.0043,0.0424,0.0007,0.4908,0.2249,0.9956
TIC 320524167,6428,4690,83.1607,0.2506,0.3611,0.0214,0.2101,0.0023,0.0691,0.0009,0.4479,0.2343,0.9984
